source,destination,cost,duration,src_lat,src_lon,dest_lat,dest_lon
CDG,MAD,150,2.0,49.0097,2.5479,40.4719,-3.5626
MAD,CDG,145,2.1,40.4719,-3.5626,49.0097,2.5479
CDG,FCO,160,2.2,49.0097,2.5479,41.8003,12.2389
FCO,CDG,155,2.3,41.8003,12.2389,49.0097,2.5479
CDG,BCN,130,2.0,49.0097,2.5479,41.2974,2.0833
BCN,CDG,125,2.1,41.2974,2.0833,49.0097,2.5479
CDG,ATH,200,3.5,49.0097,2.5479,37.9364,23.9445
ATH,CDG,195,3.6,37.9364,23.9445,49.0097,2.5479
MAD,FCO,170,2.5,40.4719,-3.5626,41.8003,12.2389
FCO,MAD,165,2.6,41.8003,12.2389,40.4719,-3.5626
MAD,LIS,90,1.5,40.4719,-3.5626,38.7756,-9.1354
LIS,MAD,85,1.6,38.7756,-9.1354,40.4719,-3.5626
LIS,GRU,480,9.5,38.7756,-9.1354,-23.4356,-46.4731
GRU,LIS,465,10.0,-23.4356,-46.4731,38.7756,-9.1354
FCO,ATH,140,2.2,41.8003,12.2389,37.9364,23.9445
ATH,FCO,135,2.3,37.9364,23.9445,41.8003,12.2389
ATH,IST,100,1.5,37.9364,23.9445,40.9769,28.8146
IST,ATH,95,1.6,40.9769,28.8146,37.9364,23.9445
IST,DXB,200,3.5,40.9769,28.8146,25.2532,55.3657
DXB,IST,195,3.6,25.2532,55.3657,40.9769,28.8146
IST,JFK,520,10.0,40.9769,28.8146,40.6413,-73.7781
JFK,IST,505,10.5,40.6413,-73.7781,40.9769,28.8146
DXB,BOM,180,3.0,25.2532,55.3657,19.0896,72.8656
BOM,DXB,175,3.2,19.0896,72.8656,25.2532,55.3657
DXB,SIN,320,7.0,25.2532,55.3657,1.3644,103.9915
SIN,DXB,310,7.5,1.3644,103.9915,25.2532,55.3657
DXB,NRT,580,9.5,25.2532,55.3657,35.7720,140.3929
NRT,DXB,565,10.0,35.7720,140.3929,25.2532,55.3657
DXB,SYD,650,14.0,25.2532,55.3657,-33.9461,151.1772
SYD,DXB,635,14.5,-33.9461,151.1772,25.2532,55.3657
DXB,NBO,280,5.0,25.2532,55.3657,-1.3192,36.9275
NBO,DXB,270,5.2,-1.3192,36.9275,25.2532,55.3657
DXB,CMB,190,4.0,25.2532,55.3657,7.1803,79.8842
CMB,DXB,185,4.2,7.1803,79.8842,25.2532,55.3657
DXB,KHI,120,2.5,25.2532,55.3657,24.9008,67.1681
KHI,DXB,115,2.6,24.9008,67.1681,25.2532,55.3657
DXB,DEL,180,3.5,25.2532,55.3657,28.5665,77.1031
DEL,DXB,175,3.6,28.5665,77.1031,25.2532,55.3657
BOM,DEL,80,2.0,19.0896,72.8656,28.5665,77.1031
DEL,BOM,75,2.1,28.5665,77.1031,19.0896,72.8656
BOM,BKK,230,4.5,19.0896,72.8656,13.6811,100.7472
BKK,BOM,225,4.8,13.6811,100.7472,19.0896,72.8656
BOM,SIN,280,5.5,19.0896,72.8656,1.3644,103.9915
SIN,BOM,270,5.8,1.3644,103.9915,19.0896,72.8656
DEL,NRT,540,8.5,28.5665,77.1031,35.7720,140.3929
NRT,DEL,525,9.0,35.7720,140.3929,28.5665,77.1031
BKK,SIN,110,2.5,13.6811,100.7472,1.3644,103.9915
SIN,BKK,105,2.6,1.3644,103.9915,13.6811,100.7472
BKK,NRT,380,6.5,13.6811,100.7472,35.7720,140.3929
NRT,BKK,370,7.0,35.7720,140.3929,13.6811,100.7472
BKK,PEK,280,4.5,13.6811,100.7472,40.0799,116.6031
PEK,BKK,270,4.8,40.0799,116.6031,13.6811,100.7472
BKK,HKG,180,3.0,13.6811,100.7472,22.3080,113.9185
HKG,BKK,175,3.2,22.3080,113.9185,13.6811,100.7472
SIN,HKG,190,3.5,1.3644,103.9915,22.3080,113.9185
HKG,SIN,185,3.6,22.3080,113.9185,1.3644,103.9915
SIN,SYD,380,8.0,1.3644,103.9915,-33.9461,151.1772
SYD,SIN,370,8.5,-33.9461,151.1772,1.3644,103.9915
SIN,NRT,380,7.0,1.3644,103.9915,35.7720,140.3929
NRT,SIN,370,7.5,35.7720,140.3929,1.3644,103.9915
HKG,NRT,250,4.0,22.3080,113.9185,35.7720,140.3929
NRT,HKG,240,4.2,35.7720,140.3929,22.3080,113.9185
HKG,PEK,200,3.5,22.3080,113.9185,40.0799,116.6031
PEK,HKG,195,3.6,40.0799,116.6031,22.3080,113.9185
HKG,SYD,450,9.5,22.3080,113.9185,-33.9461,151.1772
SYD,HKG,440,10.0,-33.9461,151.1772,22.3080,113.9185
PEK,NRT,180,3.5,40.0799,116.6031,35.7720,140.3929
NRT,PEK,175,3.6,35.7720,140.3929,40.0799,116.6031
PEK,ICN,130,2.0,40.0799,116.6031,37.4602,126.4407
ICN,PEK,125,2.1,37.4602,126.4407,40.0799,116.6031
ICN,NRT,200,2.5,37.4602,126.4407,35.7720,140.3929
NRT,ICN,195,2.6,35.7720,140.3929,37.4602,126.4407
ICN,JFK,700,13.5,37.4602,126.4407,40.6413,-73.7781
JFK,ICN,685,14.0,40.6413,-73.7781,37.4602,126.4407
NRT,SYD,580,10.0,35.7720,140.3929,-33.9461,151.1772
SYD,NRT,565,9.5,-33.9461,151.1772,35.7720,140.3929
SYD,MEL,110,1.5,-33.9461,151.1772,-37.6690,144.8410
MEL,SYD,105,1.6,-37.6690,144.8410,-33.9461,151.1772
SYD,AKL,220,3.5,-33.9461,151.1772,-37.0082,174.7850
AKL,SYD,215,3.6,-37.0082,174.7850,-33.9461,151.1772
SYD,NAN,290,4.0,-33.9461,151.1772,-17.7553,177.4431
NAN,SYD,280,4.2,-17.7553,177.4431,-33.9461,151.1772
MEL,SIN,340,8.0,-37.6690,144.8410,1.3644,103.9915
SIN,MEL,330,8.5,1.3644,103.9915,-37.6690,144.8410
JNB,NBO,300,4.5,-26.1392,28.2460,-1.3192,36.9275
NBO,JNB,290,4.8,-1.3192,36.9275,-26.1392,28.2460
JNB,LOS,480,6.5,-26.1392,28.2460,6.5774,3.3211
LOS,JNB,465,7.0,6.5774,3.3211,-26.1392,28.2460
JNB,CPT,130,2.0,-26.1392,28.2460,-33.9648,18.6017
CPT,JNB,125,2.1,-33.9648,18.6017,-26.1392,28.2460
JNB,ADD,390,5.0,-26.1392,28.2460,8.9779,38.7990
ADD,JNB,380,5.2,8.9779,38.7990,-26.1392,28.2460
NBO,ADD,150,2.0,-1.3192,36.9275,8.9779,38.7990
ADD,NBO,145,2.1,8.9779,38.7990,-1.3192,36.9275
NBO,CMB,320,5.0,-1.3192,36.9275,7.1803,79.8842
LOS,ACC,140,1.5,6.5774,3.3211,5.6052,-0.1717
ACC,LOS,135,1.6,5.6052,-0.1717,6.5774,3.3211
LOS,ABV,60,1.0,6.5774,3.3211,9.0068,7.2632
ABV,LOS,55,1.1,9.0068,7.2632,6.5774,3.3211
GRU,EZE,200,3.0,-23.4356,-46.4731,-34.8222,-58.5358
EZE,GRU,195,3.2,-34.8222,-58.5358,-23.4356,-46.4731
GRU,BOG,260,5.0,-23.4356,-46.4731,4.7016,-74.1469
BOG,GRU,250,5.2,4.7016,-74.1469,-23.4356,-46.4731
GRU,SCL,180,4.0,-23.4356,-46.4731,-33.3929,-70.7854
SCL,GRU,175,4.2,-33.3929,-70.7854,-23.4356,-46.4731
GRU,LIM,280,5.0,-23.4356,-46.4731,-12.0219,-77.1143
LIM,GRU,270,5.2,-12.0219,-77.1143,-23.4356,-46.4731
MEX,BOG,260,4.5,19.4363,-99.0721,4.7016,-74.1469
BOG,MEX,250,4.8,4.7016,-74.1469,19.4363,-99.0721
MEX,GRU,560,9.5,19.4363,-99.0721,-23.4356,-46.4731
GRU,MEX,545,10.0,-23.4356,-46.4731,19.4363,-99.0721
BOG,MIA,260,4.5,4.7016,-74.1469,25.7959,-80.2870
MIA,BOG,250,4.8,25.7959,-80.2870,4.7016,-74.1469
LIM,MIA,420,5.5,-12.0219,-77.1143,25.7959,-80.2870
MIA,LIM,410,6.0,25.7959,-80.2870,-12.0219,-77.1143
EZE,SCL,150,2.5,-34.8222,-58.5358,-33.3929,-70.7854
SCL,EZE,145,2.6,-33.3929,-70.7854,-34.8222,-58.5358
EZE,LIM,280,4.0,-34.8222,-58.5358,-12.0219,-77.1143
LIM,EZE,270,4.2,-12.0219,-77.1143,-34.8222,-58.5358
YYZ,ORD,120,1.5,43.6777,-79.6248,41.9742,-87.9073
ORD,YYZ,115,1.6,41.9742,-87.9073,43.6777,-79.6248
YYZ,YVR,280,5.0,43.6777,-79.6248,49.1947,-123.1840
YVR,YYZ,270,5.2,49.1947,-123.1840,43.6777,-79.6248
YYZ,JFK,130,1.5,43.6777,-79.6248,40.6413,-73.7781
JFK,YYZ,125,1.6,40.6413,-73.7781,43.6777,-79.6248
DFW,MEX,180,2.5,32.8998,-97.0403,19.4363,-99.0721
MEX,DFW,175,2.6,19.4363,-99.0721,32.8998,-97.0403
MIA,MEX,200,3.0,25.7959,-80.2870,19.4363,-99.0721
MEX,MIA,195,3.2,19.4363,-99.0721,25.7959,-80.2870
ORD,DFW,160,2.5,41.9742,-87.9073,32.8998,-97.0403
DFW,ORD,155,2.6,32.8998,-97.0403,41.9742,-87.9073
ATL,MIA,140,2.0,33.6407,-84.4277,25.7959,-80.2870
MIA,ATL,135,2.1,25.7959,-80.2870,33.6407,-84.4277
ATL,DFW,200,2.8,33.6407,-84.4277,32.8998,-97.0403
DFW,ATL,195,2.9,32.8998,-97.0403,33.6407,-84.4277
SEA,SFO,140,2.5,47.4502,-122.3088,37.6213,-122.3790
SFO,SEA,135,2.6,37.6213,-122.3790,47.4502,-122.3088
SEA,YVR,70,1.0,47.4502,-122.3088,49.1947,-123.1840
YVR,SEA,65,1.1,49.1947,-123.1840,47.4502,-122.3088
DEN,LAX,200,3.0,39.8561,-104.6737,33.9425,-118.4081
LAX,DEN,195,3.2,33.9425,-118.4081,39.8561,-104.6737
SFO,LAX,90,1.2,37.6213,-122.3790,33.9425,-118.4081
LAX,SFO,85,1.3,33.9425,-118.4081,37.6213,-122.3790
AMS,FRA,100,1.2,52.3086,4.7639,50.0379,8.5622
FRA,AMS,95,1.3,50.0379,8.5622,52.3086,4.7639
AMS,CDG,110,1.3,52.3086,4.7639,49.0097,2.5479
CDG,AMS,105,1.4,49.0097,2.5479,52.3086,4.7639
AMS,ARN,150,2.0,52.3086,4.7639,59.6519,17.9186
ARN,AMS,145,2.1,59.6519,17.9186,52.3086,4.7639
ARN,CPH,80,1.2,59.6519,17.9186,55.6180,12.6508
CPH,ARN,75,1.3,55.6180,12.6508,59.6519,17.9186
CPH,FRA,120,1.8,55.6180,12.6508,50.0379,8.5622
FRA,CPH,115,1.9,50.0379,8.5622,55.6180,12.6508
ARN,HEL,90,1.2,59.6519,17.9186,60.3172,24.9633
HEL,ARN,85,1.3,60.3172,24.9633,59.6519,17.9186
HEL,SVO,120,1.5,60.3172,24.9633,55.9726,37.4146
SVO,HEL,115,1.6,55.9726,37.4146,60.3172,24.9633
SVO,FRA,180,3.5,55.9726,37.4146,50.0379,8.5622
FRA,SVO,175,3.6,50.0379,8.5622,55.9726,37.4146
SVO,PEK,460,8.0,55.9726,37.4146,40.0799,116.6031
PEK,SVO,445,8.5,40.0799,116.6031,55.9726,37.4146
VIE,IST,160,2.5,48.1103,16.5697,40.9769,28.8146
IST,VIE,155,2.6,40.9769,28.8146,48.1103,16.5697
VIE,FRA,120,1.5,48.1103,16.5697,50.0379,8.5622
FRA,VIE,115,1.6,50.0379,8.5622,48.1103,16.5697
VIE,ATH,150,2.2,48.1103,16.5697,37.9364,23.9445
ATH,VIE,145,2.3,37.9364,23.9445,48.1103,16.5697
ZRH,FRA,80,1.0,47.4647,8.5492,50.0379,8.5622
FRA,ZRH,75,1.1,50.0379,8.5622,47.4647,8.5492
ZRH,LHR,100,1.5,47.4647,8.5492,51.4700,-0.4543
LHR,ZRH,95,1.6,51.4700,-0.4543,47.4647,8.5492
ZRH,JFK,490,8.5,47.4647,8.5492,40.6413,-73.7781
ZRH,DXB,350,6.5,47.4647,8.5492,25.2532,55.3657
BCN,FCO,150,2.0,41.2974,2.0833,41.8003,12.2389
FCO,BCN,145,2.1,41.8003,12.2389,41.2974,2.0833
BCN,MAD,100,1.2,41.2974,2.0833,40.4719,-3.5626
MAD,BCN,95,1.3,40.4719,-3.5626,41.2974,2.0833
BCN,LIS,120,2.0,41.2974,2.0833,38.7756,-9.1354
LIS,BCN,115,2.1,38.7756,-9.1354,41.2974,2.0833
WAW,FRA,110,2.0,52.1657,20.9671,50.0379,8.5622
FRA,WAW,105,2.1,50.0379,8.5622,52.1657,20.9671
WAW,LHR,130,2.5,52.1657,20.9671,51.4700,-0.4543
LHR,WAW,125,2.6,51.4700,-0.4543,52.1657,20.9671
PRG,FRA,90,1.5,50.1008,14.2600,50.0379,8.5622
FRA,PRG,85,1.6,50.0379,8.5622,50.1008,14.2600
BUD,VIE,60,1.0,47.4298,19.2610,48.1103,16.5697
VIE,BUD,55,1.1,48.1103,16.5697,47.4298,19.2610
CMN,CDG,180,3.0,33.3675,-7.5898,49.0097,2.5479
CDG,CMN,175,3.1,49.0097,2.5479,33.3675,-7.5898
CMN,MAD,120,2.0,33.3675,-7.5898,40.4719,-3.5626
MAD,CMN,115,2.1,40.4719,-3.5626,33.3675,-7.5898
CAI,LHR,380,4.5,30.1219,31.4056,51.4700,-0.4543
LHR,CAI,370,4.8,51.4700,-0.4543,30.1219,31.4056
CAI,DXB,220,3.5,30.1219,31.4056,25.2532,55.3657
DXB,CAI,215,3.6,25.2532,55.3657,30.1219,31.4056
CAI,IST,180,3.0,30.1219,31.4056,40.9769,28.8146
IST,CAI,175,3.1,40.9769,28.8146,30.1219,31.4056
ADD,DXB,290,4.5,8.9779,38.7990,25.2532,55.3657
DXB,ADD,280,4.8,25.2532,55.3657,8.9779,38.7990
NBO,BOM,300,5.0,-1.3192,36.9275,19.0896,72.8656
BOM,NBO,290,5.2,19.0896,72.8656,-1.3192,36.9275
CMB,SIN,280,4.5,7.1803,79.8842,1.3644,103.9915
SIN,CMB,270,4.8,1.3644,103.9915,7.1803,79.8842
KHI,BOM,100,2.0,24.9008,67.1681,19.0896,72.8656
BOM,KHI,95,2.1,19.0896,72.8656,24.9008,67.1681
DEL,BKK,260,4.5,28.5665,77.1031,13.6811,100.7472
BKK,DEL,250,4.8,13.6811,100.7472,28.5665,77.1031
DEL,SIN,310,6.0,28.5665,77.1031,1.3644,103.9915
SIN,DEL,300,6.2,1.3644,103.9915,28.5665,77.1031
KUL,SIN,80,1.0,2.7456,101.7099,1.3644,103.9915
SIN,KUL,75,1.1,1.3644,103.9915,2.7456,101.7099
KUL,BKK,120,2.0,2.7456,101.7099,13.6811,100.7472
BKK,KUL,115,2.1,13.6811,100.7472,2.7456,101.7099
KUL,HKG,200,3.5,2.7456,101.7099,22.3080,113.9185
HKG,KUL,195,3.6,22.3080,113.9185,2.7456,101.7099
CGK,SIN,100,1.5,-6.1275,106.6537,1.3644,103.9915
SIN,CGK,95,1.6,1.3644,103.9915,-6.1275,106.6537
CGK,KUL,90,1.5,-6.1275,106.6537,2.7456,101.7099
KUL,CGK,85,1.6,2.7456,101.7099,-6.1275,106.6537
MNL,HKG,200,2.5,14.5086,121.0197,22.3080,113.9185
HKG,MNL,195,2.6,22.3080,113.9185,14.5086,121.0197
MNL,NRT,450,4.0,14.5086,121.0197,35.7720,140.3929
NRT,MNL,440,4.2,35.7720,140.3929,14.5086,121.0197
MNL,SIN,250,4.0,14.5086,121.0197,1.3644,103.9915
SIN,MNL,240,4.2,1.3644,103.9915,14.5086,121.0197
SCL,BOG,460,7.5,-33.3929,-70.7854,4.7016,-74.1469
BOG,SCL,450,7.8,4.7016,-74.1469,-33.3929,-70.7854
LIM,BOG,200,3.5,-12.0219,-77.1143,4.7016,-74.1469
BOG,LIM,195,3.6,4.7016,-74.1469,-12.0219,-77.1143
BOG,JFK,380,5.5,4.7016,-74.1469,40.6413,-73.7781
JFK,BOG,370,6.0,40.6413,-73.7781,4.7016,-74.1469
EZE,JFK,820,11.0,-34.8222,-58.5358,40.6413,-73.7781
JFK,EZE,800,11.5,40.6413,-73.7781,-34.8222,-58.5358
SCL,MIA,600,8.5,-33.3929,-70.7854,25.7959,-80.2870
MIA,SCL,585,9.0,25.7959,-80.2870,-33.3929,-70.7854
